Condition,Frequencies (Hz)
"Abdominal Cramps,Stomach","72, 95, 190, 304"
"Abdominal Pain,Stomach","3, 26, 95, 124, 160, 440, 522, 3000, 3040, 10000"
"Abdominal Pain,Stomach","5000, 10000"
"Abscess Nocardia Asteroides,Respiratory","228, 231, 237, 694, 710, 887, 2890"
"Abscesses ,Skin","190, 444, 500, 727, 787, 802, 880, 1550, 1865, 2170, 2720"
"Abscesses ,Skin","190, 428, 444, 450, 465, 500, 660, 690, 727, 760, 787, 802, 880, 1550, 1865, 2170, 2720"
"Abscesses ,Skin","428, 444, 450, 465, 660, 760, 802, 1550"
"Abscesses ,Skin","190, 200, 500, 727, 787, 880, 2170, 2720"
Accelerate Injury Healing,47
"Acidosis,Blood Tissue","20, 146, 727, 776, 787, 802, 880, 10000"
"Acne ,Skin","428, 444, 450, 465, 660, 727, 741, 760, 778, 787, 802, 880, 1500, 1550, 1552, 1600, 1800, 2170, 2720"
"Acne ,Skin","428, 444, 450, 465, 660, 760"
"Acne Vulgaris Junior,Skin","185, 514, 832"
"Acne Vulgaris,Skin",564
"Acne,Skin","727, 787, 880, 5000"
"Acne,Skin","50, 370, 830, 2500, 3000"
"Aconite,Immune System","2791, 3347, 5611"
"Acrocephalosyndactyly,Bone Tissue","140, 1220, 2620"
"Acromegaly,Bone Tissue","80, 420, 770, 7910"
"Actinobacillus,Respiratory","488, 565, 672, 674, 678, 766, 768, 773, 776, 777, 778, 787, 822, 885, 887, 9687"
"Actinobacillus,Respiratory",773
Actinomyces Bovis,"20, 73, 160, 220, 465, 660, 690, 727.5, 787, 10000"
Actinomyces Israelii,"727, 766, 776, 787, 802, 880, 1550, 1600, 1800, 2489, 2720"
Actinomyces Israelii,"20, 23, 222, 262, 465, 488, 567, 727, 747, 787, 2154, 7880, 10000"
Actinomyces Israelii,"222 ,262, 2154"
Actinomyces Israelii,"262, 2154"
Actinomycosis,"20, 23, 73, 160, 220, 222, 262, 465, 488, 567, 660, 690, 727.5, 787, 2154, 7880, 10000"
Actinomycosis Streptothrix MOR,"784, 1607, 7870"
"Actinomycosis,Mouth","20, 465, 727, 787, 880, 10000"
Acupuncture Disturbance Field,18
Acute Pain,"26, 95, 160, 333, 522, 666, 690, 727, 787, 802, 880, 1550, 3000"
Addiction Alcoholism,10000
Addiction Alcoholism,"727, 880, 10000"
Addiction Drugs,"5, 333, 353"
Addiction Drugs,"20, 727, 787, 880, 5000"
Addiction,"4, 7, 8"
Addictions Alcohol General,"230, 290, 440, 1500, 2300, 3300"
